      dataset method  thresh     N  random_pseudo  filtered_pseudo  delta_filter  random_true  selection_effect
     imagenet    lac     0.5   150         0.6399           0.4399       -0.2000           --                --
     imagenet    lac     0.7   104         0.6458           0.3309       -0.3149           --                --
     imagenet    lac     0.9    52         0.6496           0.1839       -0.4657           --                --
     imagenet    aps     0.5   150         0.7677           0.8225       +0.0548           --                --
     imagenet    aps     0.7   104         0.7808           0.8482       +0.0674           --                --
     imagenet    aps     0.9    52         0.8002           0.9190       +0.1188           --                --
     imagenet   raps     0.5   150         0.7591           0.8116       +0.0525           --                --
     imagenet   raps     0.7   104         0.7713           0.8341       +0.0628           --                --
     imagenet   raps     0.9    52         0.7901           0.8919       +0.1018           --                --
  imagenet_v2    lac     0.5   137         0.6003           0.3848       -0.2155           --                --
  imagenet_v2    lac     0.7    89         0.5972           0.2707       -0.3265           --                --
  imagenet_v2    lac     0.9    46         0.6272           0.1512       -0.4760           --                --
  imagenet_v2    aps     0.5   137         0.7340           0.7914       +0.0574           --                --
  imagenet_v2    aps     0.7    89         0.7216           0.8509       +0.1293           --                --
  imagenet_v2    aps     0.9    46         0.7828           0.9330       +0.1502           --                --
  imagenet_v2   raps     0.5   137         0.7223           0.7716       +0.0493           --                --
  imagenet_v2   raps     0.7    89         0.7097           0.8191       +0.1094           --                --
  imagenet_v2   raps     0.9    46         0.7635           0.8768       +0.1133           --                --
   imagenet_r    lac     0.5   152         0.6548           0.4706       -0.1842           --                --
   imagenet_r    lac     0.7   113         0.6569           0.3856       -0.2713           --                --
   imagenet_r    lac     0.9    64         0.6595           0.2319       -0.4276           --                --
   imagenet_r    aps     0.5   152         0.7847           0.8343       +0.0496           --                --
   imagenet_r    aps     0.7   113         0.7924           0.8609       +0.0685           --                --
   imagenet_r    aps     0.9    64         0.8017           0.9069       +0.1052           --                --
   imagenet_r   raps     0.5   152         0.7798           0.8176       +0.0378           --                --
   imagenet_r   raps     0.7   113         0.7850           0.8381       +0.0531           --                --
   imagenet_r   raps     0.9    64         0.7904           0.8727       +0.0823           --                --
   imagenet_a    lac     0.5   105         0.3464           0.1722       -0.1742           --                --
   imagenet_a    lac     0.7    61         0.3586           0.1111       -0.2475           --                --
   imagenet_a    lac     0.9    20         0.3584           0.0457       -0.3127           --                --
   imagenet_a    aps     0.5   105         0.4264           0.4965       +0.0701           --                --
   imagenet_a    aps     0.7    61         0.4364           0.6008       +0.1644           --                --
   imagenet_a    aps     0.9    20         0.5308           0.7820       +0.2512           --                --
   imagenet_a   raps     0.5   105         0.4228           0.4879       +0.0651           --                --
   imagenet_a   raps     0.7    61         0.4315           0.5691       +0.1376           --                --
   imagenet_a   raps     0.9    20         0.5060           0.6739       +0.1679           --                --
