      dataset method  thresh     acc   N_eff  pseudo_prec  pseudo_cov  true_cov      gap  set_size
     imagenet    lac     0.0   0.591   250.0        0.584      0.6400    0.9122  -0.2722      1.12
     imagenet    lac     0.5   0.591   149.6        0.774      0.4399    0.8593  -0.4194      0.55
     imagenet    lac     0.7   0.591   103.7        0.878      0.3309    0.7622  -0.4313      0.37
     imagenet    lac     0.9   0.591    51.6        0.951      0.1839    0.3441  -0.1602      0.19
     imagenet    aps     0.0   0.591   250.0        0.584      0.7660    0.9213  -0.1553      3.64
     imagenet    aps     0.5   0.591   149.6        0.774      0.8225    0.9270  -0.1045      5.83
     imagenet    aps     0.7   0.591   103.7        0.878      0.8482    0.9320  -0.0838      7.75
     imagenet    aps     0.9   0.591    51.6        0.951      0.9190    0.9454  -0.0264     19.23
     imagenet   raps     0.0   0.591   250.0        0.584      0.7566    0.9166  -0.1600      2.91
     imagenet   raps     0.5   0.591   149.6        0.774      0.8116    0.9005  -0.0889      3.91
     imagenet   raps     0.7   0.591   103.7        0.878      0.8341    0.9050  -0.0709      4.58
     imagenet   raps     0.9   0.591    51.6        0.951      0.8919    0.9114  -0.0195      6.78
  imagenet_v2    lac     0.0   0.539   250.0        0.538      0.5925    0.9077  -0.3152      1.16
  imagenet_v2    lac     0.5   0.539   136.9        0.755      0.3848    0.8223  -0.4375      0.48
  imagenet_v2    lac     0.7   0.539    88.5        0.855      0.2707    0.7857  -0.5150      0.30
  imagenet_v2    lac     0.9   0.539    46.4        0.951      0.1512    0.4093  -0.2581      0.16
  imagenet_v2    aps     0.0   0.539   250.0        0.538      0.7080    0.9181  -0.2101      3.84
  imagenet_v2    aps     0.5   0.539   136.9        0.755      0.7914    0.9258  -0.1344      7.30
  imagenet_v2    aps     0.7   0.539    88.5        0.855      0.8509    0.9398  -0.0889     13.48
  imagenet_v2    aps     0.9   0.539    46.4        0.951      0.9330    0.9547  -0.0217     31.30
  imagenet_v2   raps     0.0   0.539   250.0        0.538      0.6994    0.9089  -0.2095      3.07
  imagenet_v2   raps     0.5   0.539   136.9        0.755      0.7716    0.8808  -0.1092      4.64
  imagenet_v2   raps     0.7   0.539    88.5        0.855      0.8191    0.8859  -0.0668      6.24
  imagenet_v2   raps     0.9   0.539    46.4        0.951      0.8768    0.8947  -0.0179      8.78
   imagenet_r    lac     0.0   0.602   250.0        0.598      0.6522    0.9063  -0.2541      1.12
   imagenet_r    lac     0.5   0.602   152.5        0.824      0.4706    0.8234  -0.3528      0.55
   imagenet_r    lac     0.7   0.602   112.8        0.913      0.3856    0.5698  -0.1842      0.41
   imagenet_r    lac     0.9   0.602    64.2        0.984      0.2319    0.2338  -0.0019      0.24
   imagenet_r    aps     0.0   0.602   250.0        0.598      0.7821    0.9205  -0.1384      3.81
   imagenet_r    aps     0.5   0.602   152.5        0.824      0.8343    0.9118  -0.0775      5.67
   imagenet_r    aps     0.7   0.602   112.8        0.913      0.8609    0.9079  -0.0470      7.09
   imagenet_r    aps     0.9   0.602    64.2        0.984      0.9069    0.9226  -0.0157     11.10
   imagenet_r   raps     0.0   0.602   250.0        0.598      0.7785    0.9091  -0.1306      3.24
   imagenet_r   raps     0.5   0.602   152.5        0.824      0.8176    0.8824  -0.0648      4.27
   imagenet_r   raps     0.7   0.602   112.8        0.913      0.8381    0.8736  -0.0355      4.91
   imagenet_r   raps     0.9   0.602    64.2        0.984      0.8727    0.8836  -0.0109      6.25
   imagenet_a    lac     0.0   0.285   250.0        0.290      0.3395    0.9025  -0.5630      1.22
   imagenet_a    lac     0.5   0.285   104.5        0.462      0.1722    0.9093  -0.7371      0.38
   imagenet_a    lac     0.7   0.285    60.6        0.522      0.1111    0.9293  -0.8182      0.22
   imagenet_a    lac     0.9   0.285    20.5        0.668      0.0457    0.9784  -0.9327      0.08
   imagenet_a    aps     0.0   0.285   250.0        0.290      0.3997    0.9074  -0.5077      2.62
   imagenet_a    aps     0.5   0.285   104.5        0.462      0.4965    0.9348  -0.4383      5.00
   imagenet_a    aps     0.7   0.285    60.6        0.522      0.6008    0.9541  -0.3533      9.63
   imagenet_a    aps     0.9   0.285    20.5        0.668      0.7820    0.9825  -0.2005     24.55
   imagenet_a   raps     0.0   0.285   250.0        0.290      0.3961    0.9000  -0.5039      2.50
   imagenet_a   raps     0.5   0.285   104.5        0.462      0.4879    0.8538  -0.3659      4.23
   imagenet_a   raps     0.7   0.285    60.6        0.522      0.5691    0.8512  -0.2821      6.48
   imagenet_a   raps     0.9   0.285    20.5        0.668      0.6739    0.9050  -0.2311     10.01
